index,지역명,연도,월,평당분양가격,전용면적
569,충남,2016,4,8705.4,102m²~
570,전북,2016,4,6299.7,모든면적
571,전북,2016,4,6270.0,60m²
572,전북,2016,4,6322.799999999999,60m²~85m²
573,전북,2016,4,7487.7,85m²~102m²
574,전북,2016,4,7854.0,102m²~
575,전남,2016,4,6352.5,모든면적
576,전남,2016,4,6563.7,60m²
577,전남,2016,4,6345.9,60m²~85m²
578,전남,2016,4,7464.599999999999,85m²~102m²
579,전남,2016,4,7180.799999999999,102m²~
580,경북,2016,4,7184.099999999999,모든면적
581,경북,2016,4,7164.299999999999,60m²
582,경북,2016,4,7223.7,60m²~85m²
583,경북,2016,4,8827.5,85m²~102m²
584,경북,2016,4,7636.2,102m²~
585,경남,2016,4,7890.299999999999,모든면적
586,경남,2016,4,7962.9,60m²
587,경남,2016,4,7883.7,60m²~85m²
588,경남,2016,4,10480.8,85m²~102m²
589,경남,2016,4,8778.0,102m²~
590,제주,2016,4,8972.699999999999,모든면적
591,제주,2016,4,9414.9,60m²
592,제주,2016,4,9081.6,60m²~85m²
593,제주,2016,4,8992.5,85m²~102m²
594,제주,2016,4,8586.6,102m²~
595,서울,2016,5,20671.199999999997,모든면적
596,서울,2016,5,21905.399999999998,60m²
597,서울,2016,5,20476.5,60m²~85m²
598,서울,2016,5,25492.5,85m²~102m²
599,서울,2016,5,20964.899999999998,102m²~
600,인천,2016,5,10490.699999999999,모든면적
601,인천,2016,5,10965.9,60m²
602,인천,2016,5,10385.099999999999,60m²~85m²
603,인천,2016,5,11111.099999999999,85m²~102m²
604,인천,2016,5,13833.599999999999,102m²~
605,경기,2016,5,11361.9,모든면적
606,경기,2016,5,12276.0,60m²
607,경기,2016,5,11361.9,60m²~85m²
608,경기,2016,5,11121.0,85m²~102m²
609,경기,2016,5,13054.8,102m²~
610,부산,2016,5,10388.4,모든면적
611,부산,2016,5,9824.1,60m²
612,부산,2016,5,10134.3,60m²~85m²
613,부산,2016,5,10216.8,85m²~102m²
614,부산,2016,5,11668.8,102m²~
615,대구,2016,5,10335.599999999999,모든면적
616,대구,2016,5,11170.5,60m²
617,대구,2016,5,10447.8,60m²~85m²
618,대구,2016,5,8378.699999999999,85m²~102m²
619,대구,2016,5,9051.9,102m²~
620,광주,2016,5,8982.6,모든면적
621,광주,2016,5,8471.1,60m²
622,광주,2016,5,8985.9,60m²~85m²
623,광주,2016,5,9088.199999999999,85m²~102m²
624,광주,2016,5,11609.4,102m²~
625,대전,2016,5,8134.5,모든면적
626,대전,2016,5,8520.6,60m²
627,대전,2016,5,8009.099999999999,60m²~85m²
628,대전,2016,5,,85m²~102m²
629,대전,2016,5,,102m²~
630,울산,2016,5,10154.099999999999,모든면적
631,울산,2016,5,8580.0,60m²
632,울산,2016,5,10164.0,60m²~85m²
633,울산,2016,5,8787.9,85m²~102m²
634,울산,2016,5,9791.1,102m²~
635,세종,2016,5,8844.0,모든면적
636,세종,2016,5,8764.8,60m²
637,세종,2016,5,8906.699999999999,60m²~85m²
